Greedy;GreedyRedux;FPTAS0;FPTAS005;FPTAS01;FPTAS02
0,01453364033065137;0,012193716953006127;0,0;2,3326849800466676E-5;1,4357682559468964E-4;0,004959250712931305
0,01304135768884159;0,010439515277492512;0,0;1,0940151049826096E-5;2,6080467991516763E-5;2,881972568346441E-4
0,00968409329705529;0,009262655430998792;0,0;5,301574738020696E-6;2,5843532730045966E-5;7,079228117215756E-5
0,008604035471106143;0,007743927542505064;0,0;1,5737600327370285E-6;0,002010628617476741;0,002025951921916562
0,007785234156336906;0,00663393529126755;0,0;2,6250631568694868E-6;2,407951837829754E-5;4,0866009437110244E-5
0,007245278210501081;0,007245278210501081;0,0;1,3071252501660581E-6;2,4396736775046112E-6;3,349087735000089E-5
0,00691769857478941;0,0065881771855475614;0,0;1,0339920594693038E-6;4,961133207845871E-6;3,327923484376509E-5
0,005290071717325174;0,005290071717325174;0,0;1,1859206270330465E-6;2,4710188202471848E-6;2,7264727797539637E-5
0,0059627827630309785;0,0059627827630309785;0,0;9,677407340417587E-7;4,597878209617569E-6;1,2646970677158798E-5
0,005576913561674054;0,005576913561674054;0,0;9,492448309859469E-7;1,7361264202117907E-6;9,844225600906902E-6
0,004690841238327147;0,004445893289766217;0,0;1,101880512275059E-6;2,1772031512502976E-6;1,032952044907801E-5
0,004816388963546329;0,004816388963546329;0,0;6,925962181499872E-7;1,5398468370256825E-6;8,944864535669624E-6